ID	NAME	SIZE	DATA TYPE	INTERPRETATION RANGE / LAYOUT
1.001	DPT_Switch	1 bit	Boolean	0 = off, 1 = on
1.002	DPT_Bool	1 bit	Boolean	0 = false, 1 = true
1.003	DPT_Enable	1 bit	Boolean	0 = disable, 1 = enable
1.004	DPT_Ramp	1 bit	Boolean	0 = no ramp, 1 = ramp
1.005	DPT_Alarm	1 bit	Boolean	0 = no alarm, 1 = alarm
1.006	DPT_BinaryValue	1 bit	Boolean	0 = low, 1 = high
1.007	DPT_Step	1 bit	Boolean	0 = decrease, 1 = increase
1.008	DPT_UpDown	1 bit	Boolean	0 = up, 1 = down
1.009	DPT_OpenClose	1 bit	Boolean	0 = open, 1 = close
1.010	DPT_Start	1 bit	Boolean	0 = stop, 1 = start
1.011	DPT_State	1 bit	Boolean	0 = inactive, 1 = active
1.012	DPT_Invert	1 bit	Boolean	0 = not inverted, 1 = inverted
1.013	DPT_DimSendStyle	1 bit	Boolean	0 = start/stop, 1 = cyclically
1.014	DPT_InputSource	1 bit	Boolean	0 = fixed, 1 = calculated
1.015	DPT_Reset	1 bit	Boolean	0 = no action (dummy), 1 = reset command
1.016	DPT_Ack	1 bit	Boolean	0 = no action (dummy), 1 = acknowledge command
1.017	DPT_Trigger	1 bit	Boolean	0, 1 = trigger
1.018	DPT_Occupancy	1 bit	Boolean	0 = not occupied, 1 = occupied
1.019	DPT_Window_Door	1 bit	Boolean	0 = closed, 1 = open
1.021	DPT_LogicalFunction	1 bit	Boolean	0 = logical function OR, 1 = logical function AND
1.022	DPT_Scene_AB	1 bit	Boolean	0 = scene A, 1 = scene B
1.023	DPT_ShutterBlinds_Mode	1 bit	Boolean	0 = UpDown only (shutter), 1 = UpDown + StepStop (blind)
1.024	DPT_DayNight	1 bit	Boolean	0 = day, 1 = night
1.100	DPT_Heat/Cool	1 bit	Boolean	0 = cooling, 1 = heating
1.1200	DPT_ConsumerProducer	1 bit	Boolean	0 = consumer, 1 = producer
1.1201	DPT_EnergyDirection	1 bit	Boolean	0 = positive (import), 1 = negative (export)
2.001	DPT_Switch_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.001 (0=off, 1=on)
2.002	DPT_Bool_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.002
2.003	DPT_Enable_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.003
2.004	DPT_Ramp_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.004
2.005	DPT_Alarm_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.005
2.006	DPT_BinaryValue_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.006
2.007	DPT_Step_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.007
2.008	DPT_Direction1_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.008
2.009	DPT_Direction2_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.009
2.010	DPT_Start_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.010
2.011	DPT_State_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.011
2.012	DPT_Invert_Control	2 bits	2-bit controlled	c = {0,1}, v according to 1.012
3.007	DPT_Control_Dimming	4 bits	4-bit controlled	c = {0,1}; StepCode = [0b000…0b111] (0=break, 1–7=step)
3.008	DPT_Control_Blinds	4 bits	4-bit controlled	c = {0,1}; StepCode = [0b000…0b111] (0=break, 1–7=step)
4.001	DPT_Char_ASCII	1 byte	Character	[0 … 127] (ASCII, MSB always 0)
4.002	DPT_Char_8859_1	1 byte	Character	[0 … 255] (ISO 8859-1)
5.001	DPT_Scaling	1 byte	Unsigned	[0 … 100] % (resolution ≈ 0.4%)
5.003	DPT_Angle	1 byte	Unsigned	[0 … 360] ° (resolution ≈ 1.4°)
5.004	DPT_Percent_U8	1 byte	Unsigned	[0 … 255] % (resolution 1%)
5.005	DPT_DecimalFactor	1 byte	Unsigned	[0 … 255] ratio (1 … 255 × 0.001)
5.006	DPT_Tariff	1 byte	Unsigned	[0 … 254] (0=no tariff, 1–254=tariff value, 255=reserved)
5.010	DPT_Value_1_Ucount	1 byte	Unsigned	[0 … 255] counter pulses
6.001	DPT_Percent_V8	1 byte	Signed	[-128 … 127] %
6.010	DPT_Value_1_Count	1 byte	Signed	[-128 … 127] counter pulses
6.020	DPT_Status_Mode3	1 byte	Bitfield	A,B,C,D,E = {0,1}; Mode FFF = {001b=mode0, 010b=mode1, 100b=mode2}
7.001	DPT_Value_2_Ucount	2 bytes	Unsigned	[0 … 65535] pulses
7.002	DPT_TimePeriodMsec	2 bytes	Unsigned	[0 … 65535] ms
7.003	DPT_TimePeriod10MSec	2 bytes	Unsigned	[0 … 655350] ms (resolution 10 ms)
7.004	DPT_TimePeriod100MSec	2 bytes	Unsigned	[0 … 6553500] ms (resolution 100 ms)
7.005	DPT_TimePeriodSec	2 bytes	Unsigned	[0 … 65535] s
7.006	DPT_TimePeriodMin	2 bytes	Unsigned	[0 … 65535] min
7.007	DPT_TimePeriodHrs	2 bytes	Unsigned	[0 … 65535] h
7.010	DPT_PropDataType	2 bytes	Unsigned	Interface Object Property ID [0 … 65535]
7.011	DPT_Length_mm	2 bytes	Unsigned	[0 … 65535] mm
7.012	DPT_UElCurrentmA	2 bytes	Unsigned	[0 … 65535] mA
7.013	DPT_Brightness	2 bytes	Unsigned	[0 … 65535] lux
7.600	DPT_Absolute_Colour_Temperature	2 bytes	Unsigned	[0 … 65535] K
8.001	DPT_Value_2_Count	2 bytes	Signed	[-32768 … 32767] pulses
8.002	DPT_DeltaTimeMsec	2 bytes	Signed	[-32768 … 32767] ms
8.003	DPT_DeltaTime10MSec	2 bytes	Signed	[-327680 … 327670] ms
8.004	DPT_DeltaTime100MSec	2 bytes	Signed	[-3276800 … 3276700] ms
8.005	DPT_DeltaTimeSec	2 bytes	Signed	[-32768 … 32767] s
8.006	DPT_DeltaTimeMin	2 bytes	Signed	[-32768 … 32767] min
8.007	DPT_DeltaTimeHrs	2 bytes	Signed	[-32768 … 32767] h
8.010	DPT_Percent_V16	2 bytes	Signed	[-327.68 … 327.67] %
8.011	DPT_Rotation_Angle	2 bytes	Signed	[-32768 … 32767] °
8.012	DPT_Length_m	2 bytes	Signed	[-32768 … 32767] m
9.001	DPT_Value_Temp	2 bytes	Float	[-273 … 670433.28] °C
9.002	DPT_Value_Tempd	2 bytes	Float	[-671088.64 … 670433.28] K
9.003	DPT_Value_Tempa	2 bytes	Float	[-671088.64 … 670433.28] K/h
9.004	DPT_Value_Lux	2 bytes	Float	[0 … 670433.28] Lux
9.005	DPT_Value_Wsp	2 bytes	Float	[0 … 670433.28] m/s
9.006	DPT_Value_Pres	2 bytes	Float	[0 … 670433.28] Pa
9.007	DPT_Value_Humidity	2 bytes	Float	[0 … 670433.28] %
9.008	DPT_Value_AirQuality	2 bytes	Float	[0 … 670433.28] ppm
9.009	DPT_Value_AirFlow	2 bytes	Float	[-671088.64 … 670433.28] m³/h
9.010	DPT_Value_Time1	2 bytes	Float	[-671088.64 … 670433.28] s
9.011	DPT_Value_Time2	2 bytes	Float	[-671088.64 … 670433.28] ms
9.020	DPT_Value_Volt	2 bytes	Float	[-671088.64 … 670433.28] mV
9.021	DPT_Value_Curr	2 bytes	Float	[-671088.64 … 670433.28] mA
9.022	DPT_PowerDensity	2 bytes	Float	[-671088.64 … 670433.28] W/m²
9.023	DPT_KelvinPerPercent	2 bytes	Float	[-671088.64 … 670433.28] K/%
9.024	DPT_Power	2 bytes	Float	[-671088.64 … 670433.28] kW
9.025	DPT_Value_Volume_Flow	2 bytes	Float	[-671088.64 … 670433.28] l/h
9.026	DPT_Rain_Amount	2 bytes	Float	[-671088.64 … 670433.28] l/m²
9.027	DPT_Value_Temp_F	2 bytes	Float	[-459.6 … 670433.28] °F
9.028	DPT_Value_Wsp_kmh	2 bytes	Float	[0 … 670433.28] km/h
9.029	DPT_Value_Absolute_Humidity	2 bytes	Float	[0 … 670760] g/m³
9.030	DPT_Concentration_µgm3	2 bytes	Float	[0 … 670760] µg/m³
10.001	DPT_TimeOfDay	3 bytes	Time	Day=[0…7]; Hour=[0…23]; Min=[0…59]; Sec=[0…59]
11.001	DPT_Date	3 bytes	Date	Day=[1…31]; Month=[1…12]; Year=[0…99]
12.001	DPT_Value_4_Ucount	4 bytes	Unsigned	[0 … 4294967295] counter pulses
12.100	DPT_LongTimePeriod_Sec	4 bytes	Unsigned	[0 … 4294967295] s
12.101	DPT_LongTimePeriod_Min	4 bytes	Unsigned	[0 … 4294967295] min
12.102	DPT_LongTimePeriod_Hrs	4 bytes	Unsigned	[0 … 4294967295] h
12.1200	DPT_VolumeLiquid_Litre	4 bytes	Unsigned	[0 … 4294967295] l
12.1201	DPT_Volume_m3	4 bytes	Unsigned	[0 … 4294967295] m³
13.001	DPT_Value_4_Count	4 bytes	Signed	[-2147483648 … 2147483647] counter pulses
13.002	DPT_FlowRate_m3/h	4 bytes	Signed	[-2147483648 … 2147483647] m³/h
13.010	DPT_ActiveEnergy	4 bytes	Signed	[-2147483648 … 2147483647] Wh
13.011	DPT_ApparantEnergy	4 bytes	Signed	[-2147483648 … 2147483647] VAh
13.012	DPT_ReactiveEnergy	4 bytes	Signed	[-2147483648 … 2147483647] VARh
13.013	DPT_ActiveEnergy_kWh	4 bytes	Signed	[-2147483648 … 2147483647] kWh
13.014	DPT_ApparantEnergy_kVAh	4 bytes	Signed	[-2147483648 … 2147483647] kVAh
13.015	DPT_ReactiveEnergy_kVARh	4 bytes	Signed	[-2147483648 … 2147483647] kVARh
13.016	DPT_ActiveEnergy_MWh	4 bytes	Signed	[-2147483648 … 2147483647] MWh
13.100	DPT_LongDeltaTimeSec	4 bytes	Signed	[-2147483648 … 2147483647] s
13.1200	DPT_DeltaVolumeLiquid_Litre	4 bytes	Signed	[-2147483648 … 2147483647] l
13.1201	DPT_DeltaVolume_m3	4 bytes	Signed	[-2147483648 … 2147483647] m³
14.000	DPT_Value_Acceleration	4 bytes	Float	[-3.4e38 … 3.4e38] m/s²
14.001	DPT_Value_Acceleration_Angular	4 bytes	Float	[-3.4e38 … 3.4e38] rad/s²
14.002	DPT_Value_Activation_Energy	4 bytes	Float	[-3.4e38 … 3.4e38] J/mol
14.003	DPT_Value_Activity	4 bytes	Float	[-3.4e38 … 3.4e38] s⁻¹
14.004	DPT_Value_Mol	4 bytes	Float	[-3.4e38 … 3.4e38] mol
14.005	DPT_Value_Amplitude	4 bytes	Float	[-3.4e38 … 3.4e38]
14.006	DPT_Value_AngleRad	4 bytes	Float	[-3.4e38 … 3.4e38] rad
14.007	DPT_Value_AngleDeg	4 bytes	Float	[-3.4e38 … 3.4e38] °
14.008	DPT_Value_Angular_Momentum	4 bytes	Float	[-3.4e38 … 3.4e38] J·s
14.009	DPT_Value_Angular_Velocity	4 bytes	Float	[-3.4e38 … 3.4e38] rad/s
14.010	DPT_Value_Area	4 bytes	Float	[-3.4e38 … 3.4e38] m²
14.011	DPT_Value_Capacitance	4 bytes	Float	[-3.4e38 … 3.4e38] F
14.012	DPT_Value_Charge_Density_Surface	4 bytes	Float	[-3.4e38 … 3.4e38] C/m²
14.013	DPT_Value_Charge_Density_Volume	4 bytes	Float	[-3.4e38 … 3.4e38] C/m³
14.014	DPT_Value_Compressibility	4 bytes	Float	[-3.4e38 … 3.4e38] m²/N
14.015	DPT_Value_Conductance	4 bytes	Float	[-3.4e38 … 3.4e38] S
14.016	DPT_Value_Electrical_Conductivity	4 bytes	Float	[-3.4e38 … 3.4e38] S/m
14.017	DPT_Value_Density	4 bytes	Float	[-3.4e38 … 3.4e38] kg/m³
14.018	DPT_Value_Electric_Charge	4 bytes	Float	[-3.4e38 … 3.4e38] C
14.019	DPT_Value_Electric_Current	4 bytes	Float	[-3.4e38 … 3.4e38] A
14.020	DPT_Value_Electric_Current_Density	4 bytes	Float	[-3.4e38 … 3.4e38] A/m²
14.021	DPT_Value_Electric_Dipole_Moment	4 bytes	Float	[-3.4e38 … 3.4e38] C·m
14.022	DPT_Value_Electric_Displacement	4 bytes	Float	[-3.4e38 … 3.4e38] C/m²
14.023	DPT_Value_Electric_Field_Strength	4 bytes	Float	[-3.4e38 … 3.4e38] V/m
14.024	DPT_Value_Electric_Flux	4 bytes	Float	[-3.4e38 … 3.4e38] V·m
14.025	DPT_Value_Electric_Flux_Density	4 bytes	Float	[-3.4e38 … 3.4e38] C/m²
14.026	DPT_Value_Electric_Polarization	4 bytes	Float	[-3.4e38 … 3.4e38] C/m²
14.027	DPT_Value_Electric_Potential	4 bytes	Float	[-3.4e38 … 3.4e38] V
14.028	DPT_Value_Electric_Potential_Difference	4 bytes	Float	[-3.4e38 … 3.4e38] V
14.029	DPT_Value_Electromagnetic_Moment	4 bytes	Float	[-3.4e38 … 3.4e38] A·m²
14.030	DPT_Value_Electromotive_Force	4 bytes	Float	[-3.4e38 … 3.4e38] V
14.031	DPT_Value_Energy	4 bytes	Float	[-3.4e38 … 3.4e38] J
14.032	DPT_Value_Force	4 bytes	Float	[-3.4e38 … 3.4e38] N
14.033	DPT_Value_Frequency	4 bytes	Float	[-3.4e38 … 3.4e38] Hz
14.034	DPT_Value_Angular_Frequency	4 bytes	Float	[-3.4e38 … 3.4e38] rad/s
14.035	DPT_Value_Heat_Capacity	4 bytes	Float	[-3.4e38 … 3.4e38] J/K
14.036	DPT_Value_Heat_Flow_Rate	4 bytes	Float	[-3.4e38 … 3.4e38] W
14.037	DPT_Value_Heat_Quantity	4 bytes	Float	[-3.4e38 … 3.4e38] J
14.038	DPT_Value_Impedance	4 bytes	Float	[-3.4e38 … 3.4e38] Ω
14.039	DPT_Value_Length	4 bytes	Float	[-3.4e38 … 3.4e38] m
14.040	DPT_Value_Light_Quantity	4 bytes	Float	[-3.4e38 … 3.4e38] lm·s
14.041	DPT_Value_Luminance	4 bytes	Float	[-3.4e38 … 3.4e38] cd/m²
14.042	DPT_Value_Luminous_Flux	4 bytes	Float	[-3.4e38 … 3.4e38] lm
14.043	DPT_Value_Luminous_Intensity	4 bytes	Float	[-3.4e38 … 3.4e38] cd
14.044	DPT_Value_Magnetic_Field_Strength	4 bytes	Float	[-3.4e38 … 3.4e38] A/m
14.045	DPT_Value_Magnetic_Flux	4 bytes	Float	[-3.4e38 … 3.4e38] Wb
14.046	DPT_Value_Magnetic_Flux_Density	4 bytes	Float	[-3.4e38 … 3.4e38] T
14.047	DPT_Value_Magnetic_Moment	4 bytes	Float	[-3.4e38 … 3.4e38] Wb·m
14.048	DPT_Value_Magnetic_Polarization	4 bytes	Float	[-3.4e38 … 3.4e38] T
14.049	DPT_Value_Magnetization	4 bytes	Float	[-3.4e38 … 3.4e38] A/m
14.050	DPT_Value_Magnetomotive_Force	4 bytes	Float	[-3.4e38 … 3.4e38] A
14.051	DPT_Value_Mass	4 bytes	Float	[-3.4e38 … 3.4e38] kg
14.052	DPT_Value_Momentum	4 bytes	Float	[-3.4e38 … 3.4e38] kg·m/s
14.053	DPT_Value_Phase_Angle_Rad	4 bytes	Float	[-3.4e38 … 3.4e38] rad
14.054	DPT_Value_Phase_Angle_Deg	4 bytes	Float	[-3.4e38 … 3.4e38] °
14.055	DPT_Value_Power_Factor	4 bytes	Float	[-3.4e38 … 3.4e38] cos Φ
14.056	DPT_Value_Power	4 bytes	Float	[-3.4e38 … 3.4e38] W
14.057	DPT_Value_Pressure	4 bytes	Float	[-3.4e38 … 3.4e38] Pa
14.058	DPT_Value_Reactance	4 bytes	Float	[-3.4e38 … 3.4e38] Ω
